Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,620.0,0,19,0,0,10,9,4,4,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,640.0,0,20,0,0,11,9,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,660.0,0,20,0,0,11,9,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,680.0,0,23,0,0,13,10,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,700.0,0,23,0,0,13,10,4,6,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,720.0,0,25,0,0,14,11,4,7,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,740.0,0,29,0,0,17,12,4,7,4.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,760.0,0,30,0,0,17,13,5,7,5.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,780.0,0,31,0,0,18,13,6,8,6.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,800.0,0,32,0,0,18,14,7,8,7.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,820.0,0,32,0,0,18,14,7,9,7.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,840.0,0,35,0,0,20,15,7,9,7.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,860.0,0,37,0,0,22,15,8,9,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,880.0,0,37,0,0,22,15,8,10,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,900.0,0,37,0,0,22,15,8,10,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,920.0,0,37,0,0,22,15,8,10,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,940.0,0,38,0,0,22,16,8,10,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,960.0,0,41,0,0,23,18,8,11,8.0,0.0
ScenarioSize64Probes32HelpfulC,2,1726760884372734954,0.125,0.0,0.125,980.0,0,42,0,0,23,19,9,12,9.0,0.0
