Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2710.0,0,0,44,136,0,165,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2720.0,0,0,44,136,0,168,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2730.0,0,0,44,136,0,168,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2740.0,0,0,44,136,0,170,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2750.0,0,0,44,136,0,170,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2760.0,0,0,44,136,0,170,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2770.0,0,0,44,136,0,170,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2780.0,0,0,44,136,0,171,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2790.0,0,0,44,136,0,172,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2800.0,0,0,44,136,0,172,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2810.0,0,0,44,136,0,172,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2820.0,0,0,44,136,0,173,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2830.0,0,0,44,136,0,174,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2840.0,0,0,44,136,0,174,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2850.0,0,0,44,136,0,174,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2860.0,0,0,44,136,0,174,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2870.0,0,0,44,136,0,175,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2880.0,0,0,44,136,0,176,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2890.0,0,0,44,136,0,176,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2900.0,0,0,44,136,0,177,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2910.0,0,0,44,136,0,180,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2920.0,0,0,44,136,0,181,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2930.0,0,0,44,136,0,181,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2940.0,0,0,44,136,0,183,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2950.0,0,0,44,136,0,184,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2960.0,0,0,44,136,0,184,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2970.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2980.0,0,0,44,136,0,185,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2990.0,0,0,44,136,0,185,0,0,0.0,0.0
