,Scenario,Trial,Seed,Alpha,Beta,Gamma,Drones,Victims
217,GlobalTaskQueueGamma,218,5803252861480671798,0.2,0.2,0.8,23,458
218,GlobalTaskQueueGamma,219,4079614979721967264,0.2,0.2,0.9,18,486
219,GlobalTaskQueueGamma,220,3859614828665862824,0.2,0.2,1.0,22,539
220,GlobalTaskQueueGamma,221,1296665181736411713,0.2,0.3,0.1,22,252
221,GlobalTaskQueueGamma,222,8042505502727046590,0.2,0.3,0.2,25,293
222,GlobalTaskQueueGamma,223,5766912149520929452,0.2,0.3,0.3,21,341
223,GlobalTaskQueueGamma,224,4131800998260826138,0.2,0.3,0.4,22,370
224,GlobalTaskQueueGamma,225,8074791954104090753,0.2,0.3,0.5,24,379
225,GlobalTaskQueueGamma,226,4796725239296749199,0.2,0.3,0.6,23,415
226,GlobalTaskQueueGamma,227,3511624105683441532,0.2,0.3,0.7,16,465
227,GlobalTaskQueueGamma,228,3181658926387446050,0.2,0.3,0.8,16,457
228,GlobalTaskQueueGamma,229,8973607959356784207,0.2,0.3,0.9,17,516
229,GlobalTaskQueueGamma,230,6436531588695403043,0.2,0.3,1.0,21,528
230,GlobalTaskQueueGamma,231,2329243079975484041,0.2,0.4,0.1,21,264
231,GlobalTaskQueueGamma,232,8169382254816512636,0.2,0.4,0.2,18,339
232,GlobalTaskQueueGamma,233,6492116527351215135,0.2,0.4,0.3,21,352
233,GlobalTaskQueueGamma,234,2141391691694383916,0.2,0.4,0.4,20,371
234,GlobalTaskQueueGamma,235,2633207760111996412,0.2,0.4,0.5,20,404
235,GlobalTaskQueueGamma,236,4509562312192035987,0.2,0.4,0.6,16,451
236,GlobalTaskQueueGamma,237,8706614259613481763,0.2,0.4,0.7,20,428
237,GlobalTaskQueueGamma,238,7170219927765804742,0.2,0.4,0.8,20,505
238,GlobalTaskQueueGamma,239,5326688317276302138,0.2,0.4,0.9,16,491
239,GlobalTaskQueueGamma,240,9066226433941452459,0.2,0.4,1.0,20,503
240,GlobalTaskQueueGamma,241,4715845269579204679,0.2,0.5,0.1,22,325
241,GlobalTaskQueueGamma,242,8030067925643895143,0.2,0.5,0.2,20,379
242,GlobalTaskQueueGamma,243,4814222517027440030,0.2,0.5,0.3,26,398
243,GlobalTaskQueueGamma,244,2985930558814992716,0.2,0.5,0.4,23,401
244,GlobalTaskQueueGamma,245,5755737505412411115,0.2,0.5,0.5,22,430
245,GlobalTaskQueueGamma,246,8891555551451229278,0.2,0.5,0.6,22,438
246,GlobalTaskQueueGamma,247,939644851175687749,0.2,0.5,0.7,23,460
247,GlobalTaskQueueGamma,248,2298612814177645353,0.2,0.5,0.8,23,481
248,GlobalTaskQueueGamma,249,9202480864707460381,0.2,0.5,0.9,19,512
249,GlobalTaskQueueGamma,250,813325169670315887,0.2,0.5,1.0,25,486
250,GlobalTaskQueueGamma,251,7985692780489776509,0.2,0.6,0.1,24,387
251,GlobalTaskQueueGamma,252,5199822850747112348,0.2,0.6,0.2,21,402
252,GlobalTaskQueueGamma,253,457715172785568006,0.2,0.6,0.3,26,398
253,GlobalTaskQueueGamma,254,2769455377136720185,0.2,0.6,0.4,24,430
254,GlobalTaskQueueGamma,255,6518727368059572521,0.2,0.6,0.5,16,464
255,GlobalTaskQueueGamma,256,3723774642118381276,0.2,0.6,0.6,20,465
256,GlobalTaskQueueGamma,257,4405906482560428757,0.2,0.6,0.7,21,479
257,GlobalTaskQueueGamma,258,7949410287905318513,0.2,0.6,0.8,23,524
258,GlobalTaskQueueGamma,259,5802491739971907610,0.2,0.6,0.9,23,513
259,GlobalTaskQueueGamma,260,4326207713775288983,0.2,0.6,1.0,23,525
260,GlobalTaskQueueGamma,261,3180785407387078187,0.2,0.7,0.1,26,377
261,GlobalTaskQueueGamma,262,7322489242243178396,0.2,0.7,0.2,20,428
262,GlobalTaskQueueGamma,263,4821370597557346852,0.2,0.7,0.3,18,428
263,GlobalTaskQueueGamma,264,7305083383475389634,0.2,0.7,0.4,23,448
264,GlobalTaskQueueGamma,265,3472834359385720331,0.2,0.7,0.5,22,430
265,GlobalTaskQueueGamma,266,5203547491986175012,0.2,0.7,0.6,21,461
266,GlobalTaskQueueGamma,267,6766523891884530524,0.2,0.7,0.7,18,470
267,GlobalTaskQueueGamma,268,7883397171013672352,0.2,0.7,0.8,21,486
268,GlobalTaskQueueGamma,269,8623593940741204403,0.2,0.7,0.9,18,503
269,GlobalTaskQueueGamma,270,8541844554487635301,0.2,0.7,1.0,21,509
270,GlobalTaskQueueGamma,271,6221917830304344647,0.2,0.8,0.1,20,483
271,GlobalTaskQueueGamma,272,8488654481942791341,0.2,0.8,0.2,22,428
272,GlobalTaskQueueGamma,273,938172078669506636,0.2,0.8,0.3,22,472
273,GlobalTaskQueueGamma,274,2962987435553799822,0.2,0.8,0.4,23,467
274,GlobalTaskQueueGamma,275,504657540667120685,0.2,0.8,0.5,21,489
275,GlobalTaskQueueGamma,276,6570797443270219817,0.2,0.8,0.6,20,495
276,GlobalTaskQueueGamma,277,8429449281105702028,0.2,0.8,0.7,20,500
277,GlobalTaskQueueGamma,278,1311365982928013864,0.2,0.8,0.8,17,505
278,GlobalTaskQueueGamma,279,2664213340178551584,0.2,0.8,0.9,18,525
279,GlobalTaskQueueGamma,280,7472926988234010988,0.2,0.8,1.0,18,519
280,GlobalTaskQueueGamma,281,2151359302443567117,0.2,0.9,0.1,25,488
281,GlobalTaskQueueGamma,282,4867153265890549193,0.2,0.9,0.2,17,505
282,GlobalTaskQueueGamma,283,114805942331177489,0.2,0.9,0.3,22,500
283,GlobalTaskQueueGamma,284,4367438503205172825,0.2,0.9,0.4,22,496
284,GlobalTaskQueueGamma,285,2814525721808531195,0.2,0.9,0.5,20,488
285,GlobalTaskQueueGamma,286,1565768577495918403,0.2,0.9,0.6,23,479
286,GlobalTaskQueueGamma,287,5308588981403769228,0.2,0.9,0.7,23,508
287,GlobalTaskQueueGamma,288,4187905949259289504,0.2,0.9,0.8,20,511
288,GlobalTaskQueueGamma,289,4567987904512003381,0.2,0.9,0.9,24,517
289,GlobalTaskQueueGamma,290,1565881115335792582,0.2,0.9,1.0,21,528
290,GlobalTaskQueueGamma,291,5545316277026782704,0.2,1.0,0.1,20,534
291,GlobalTaskQueueGamma,292,840219462167799959,0.2,1.0,0.2,19,502
292,GlobalTaskQueueGamma,293,3941061044718605196,0.2,1.0,0.3,20,503
293,GlobalTaskQueueGamma,294,6624562759254639564,0.2,1.0,0.4,20,526
294,GlobalTaskQueueGamma,295,9088859308973544547,0.2,1.0,0.5,22,541
295,GlobalTaskQueueGamma,296,6645871984355682038,0.2,1.0,0.6,20,505
296,GlobalTaskQueueGamma,297,8175437573352040525,0.2,1.0,0.7,21,531
297,GlobalTaskQueueGamma,298,5130905997082700919,0.2,1.0,0.8,23,494
298,GlobalTaskQueueGamma,299,7477738401410001484,0.2,1.0,0.9,20,488
299,GlobalTaskQueueGamma,300,7033616355929056616,0.2,1.0,1.0,20,521
300,GlobalTaskQueueGamma,301,922208844237524498,0.3,0.1,0.1,23,152
301,GlobalTaskQueueGamma,302,7768124162366835046,0.3,0.1,0.2,19,212
302,GlobalTaskQueueGamma,303,4559380390571441480,0.3,0.1,0.3,26,244
303,GlobalTaskQueueGamma,304,6393191780575991499,0.3,0.1,0.4,22,274
304,GlobalTaskQueueGamma,305,7805230771688118012,0.3,0.1,0.5,17,317
305,GlobalTaskQueueGamma,306,1639100393963052597,0.3,0.1,0.6,21,365
306,GlobalTaskQueueGamma,307,349844051253048601,0.3,0.1,0.7,21,448
307,GlobalTaskQueueGamma,308,1553620311848477527,0.3,0.1,0.8,20,461
